planet_name,mission,habitability_class,pl_rade,pl_eqt,pl_insol,pl_orbper,pl_orbsmax,pl_orbeccen,st_teff,st_rad,st_mass,st_lum,stellar_type,hz_position,esi_overall,in_habitable_zone,potentially_habitable,n_imputed,derived_fields,discovery_year,pl_masse,disposition
KOI-K02278.02,kepler,NON_HABITABLE,1.18,1242.0,562.99,4.92031063,0.0566,0.0,5845.0,1.314,0.998,1.8156139158544167,G,-1.252049711868245,0.048371039044326186,False,False,1,pl_orbeccen,,,CONFIRMED
KOI-K02358.01,kepler,NON_HABITABLE,4.43,681.0,50.79,56.4931698,0.3259,0.0,6160.0,2.046,1.443,5.430362451826216,F,-1.1171925305866002,0.13824096942428105,False,False,1,pl_orbeccen,,,CONFIRMED
KOI-K00241.01,kepler,NON_HABITABLE,2.2,560.0,23.15,13.82142084,0.1005,0.0,4983.0,0.651,0.715,0.2354074679855793,K,-1.0244590420290798,0.23649222531501662,False,False,1,pl_orbeccen,,,CONFIRMED
KOI-K02361.01,kepler,NON_HABITABLE,2.07,1051.0,288.69,5.78387049,0.0655,0.0,6063.0,1.012,1.117,1.2468264542987704,F,-1.229096238786433,0.06420937452642372,False,False,1,pl_orbeccen,,,CONFIRMED
KOI-K02362.02,kepler,NON_HABITABLE,2.5,665.0,46.17,11.08507658,0.0901,0.0,5080.0,0.793,0.792,0.37730793094156295,K,-1.1077796824689379,0.16439435823939155,False,False,1,pl_orbeccen,,,CONFIRMED
KOI-K02119.01,kepler,NON_HABITABLE,1.65,1897.0,3069.59,0.571038347,0.0126,0.0,5132.0,0.886,0.82,0.49057876423551605,K,-1.2851496062677827,0.01662108387529022,False,False,1,pl_orbeccen,,,CONFIRMED
KOI-K02120.01,kepler,NON_HABITABLE,1.75,771.0,83.63,8.77425786,0.0784,0.0,5146.0,0.905,0.832,0.5174531037236929,K,-1.1597305880653637,0.1298982755762629,False,False,1,pl_orbeccen,,,CONFIRMED
KOI-K02121.01,kepler,NON_HABITABLE,1.74,1063.0,301.74,4.51005082,0.0511,0.0,5362.0,1.032,0.873,0.793160985088554,G,-1.23086339084123,0.06465340990159071,False,False,1,pl_orbeccen,,,CONFIRMED
KOI-K02122.01,kepler,NON_HABITABLE,5.37,787.0,90.85,37.6468519,0.2466,0.0,5443.0,2.652,1.41,5.56154028075027,G,-1.1658241665356985,0.09792276455038029,False,False,1,pl_orbeccen,,,CONFIRMED
KOI-K02123.01,kepler,NON_HABITABLE,2.19,598.0,30.3,29.4557841,0.1879,0.0,6036.0,0.949,1.018,1.077020722818013,F,-1.0604028486370478,0.208442464060115,False,False,1,pl_orbeccen,,,CONFIRMED
KOI-K00232.01,kepler,NON_HABITABLE,5.65,897.0,152.76,12.466004437,0.1051,0.0,6038.0,1.191,0.995,1.6985982332439904,F,-1.1987999633887492,0.07310679662442005,False,False,1,pl_orbeccen,,,CONFIRMED
KOI-K02193.01,kepler,NON_HABITABLE,1.53,922.0,170.59,2.361724472,0.0299,0.0,4478.0,0.651,0.637,0.15352992735329804,K,-1.2047711629954665,0.09068984511971323,False,False,1,pl_orbeccen,,,CONFIRMED
